TITLE,LIKES,SHARES
"Several ministries, local and international civil organisations and the private sector are co-celebrating Earth Hour 2022 under the theme “The Future We Wish”. This comes as the Ministry of Environment announced its ambition to reduce gas emissions to zero by 2050.",7,0
Japanese Prime Minister Fumio Kishida will pay an official visit to Cambodia on March 20-21 to enhance relations and cooperation between the two countries.,10,0
"Chinese President Xi Jinping has committed another 20 million Covid-19 vaccine doses to Cambodia, five million of which are expected to arrive late this month.",26,0
"Minister of Foreign Affairs and International Cooperation Prak Sokhonn, in his capacity as the ASEAN chair’s special envoy on Myanmar, is scheduled to lead a working visit to the bloc’s westernmost country on March 21-22, at the invitation of the ruling State Administration Council (SAC)",7,2
The Ministry of Environment expects the number of Asian elephants in Cambodia to increase after park rangers in Mondulkiri province and researchers from World Wildlife Fund for Nature Cambodia (WWF Cambodia) spotted a herd of the animals in Sre Pok Wildlife Sanctuary,70,6
"Ministry, capital’s safe-tourism team hold first meet",7,0
"In Opinion:
Our strength is our unity: Putin chose war. We unite with Ukraine",15,0
The Preah Sihanouk provincial Department of Culture and Fine Arts and the Kampong Seila district authorities have plans for preserving the old royal residence in Kampong Seila district’s Chamkar Luong commune.,7,0
"More than 1,600 households in Banteay Srei district, Siem Reap province determined to be vulnerable to Covid-19-related shocks are to be gifted seeds of a variety of vegetables through the state-run Cambodia Food Reserve System (CFRS).",4,0
Smart ramps up shift to data-driven services,5,1
The General Department of Taxation (GDT) boss has shed some more light on the department’s decision to postpone the implementation of value-added tax (VAT) on e-commerce transactions until April 1.,11,1
[Sponsored] H&M opens first store in Cambodia to excited crowd,128,9
"Around one quarter of patients who recover from Covid-19 experience some form of mental illness, along with ongoing physical symptoms, said a senior Ministry of Health official.",9,1
"[Post Focus] As ‘the future’ of travel, sustainable tourism ‘not option but investment’",17,3
National Police chief Neth Savoeun instructed all police chiefs of the municipal and provincial police to assist in strengthening the capacity of village guards to improve their effectiveness as an auxiliary force in maintaining security and public order – in accordance with the safe village-commune policy.,12,1
"The Ministry of Education, Youth and Sports, along with the US embassy and the World Food Programme (WFP) Cambodia, celebrated the expansion of the national school meal programme and made official the handover of 85 additional school meal programme management from the WFP to the government.",50,1
[Sponsored] Global fashion brand H&M launches first outlet in Cambodia,69,4
"The new investment law has been praised by investors and businesses alike because of its robust incentives, but experts say more has to be done",23,6
"Cambodia is continuing discussions regarding the hosting of refugees from Afghanistan, and Prime Minister Hun Sen has stated that the Kingdom would also host Ukrainians should the need eventually arise for them seek refuge amid armed conflict with Russia.",42,1
"The novel coronavirus continues to spread and evolve into new strains with slightly different genetic codes, requiring Cambodia to prioritise speeding up the Covid-19 vaccination campaign to boost herd immunity across the country.",11,0
"Fifty indigenous people in Mondulkiri province on March 15 stopped the clearing of forest land in Sokdom commune’s Laoka village, claiming that the site was reserved for collective land registration of the Bunong indigenous community.",12,2
110 new Omicron community cases in Cambodia,7,0
"Prime Minister Hun Sen on March 17 explained why the ASEAN-US summit initially scheduled for March 28-29 has been postponed, apparently in response to critics who speculated that Cambodia as ASEAN chair would not agree to meet with the US.",15,0
"In a bid to end a dispute between former NagaWorld staff and the integrated resort, the Ministry of Labour and Vocational Training is calling on the strikers, including those just released on bail, to come to the negotiation table.",7,1
All passengers are required to show proof of Covid-19 vaccination upon arrival and those who have not been fully vaccinated are required to undergo a 14-day quarantine as designated by the health ministry or relevant authories.,58,7
Saudi foreign minister Prince Faisal bin Farhan al-Saud will visit Cambodia on March 18 in an effort to boost relations and cooperation between the two countries.,9,1
Pandemic pushes SDGs further out of reach of Asia and the Pacific,7,0
During that time there was a great deal of effort to try to call back all the surviving artists and master dance teachers from all over the country to Phnom Penh to try to rebuild the arts and culture that were nearly lost.,113,18
"The tech industry has long tried to align with the green movement, though its leaders are often accused of spouting nebulous slogans and making hard-to-test pledges.",7,0
"Draft amendments to the laws on Forest, Fisheries and Natural Protected Areas may be prepared for a final review in early April, according to a senior Ministry of Interior official.",10,0
"Siem Reap is planning a low-key event in mid-April to celebrate the Khmer New Year, seen by some as a pivotal piece in its efforts to revitalise the tourism sector and the broader economy of the province, according to the provincial administrative chief.",36,7
"Saudi Arabia and the UAE have a crucial role to play in taming global oil markets after Russia’s military offensive in Ukraine, UK Prime Minister Boris Johnson said on March 15 as he jetted to the Gulf for talks.",12,1
"US chip-making giant Intel on March 15 said it planned to invest tens of billions of euros in the EU, as the continent seeks to reduce its reliance on semiconductors from Asia.",16,2
"China has increased its purchase of 115kV electricity from Laos this year under a bilateral energy cooperation agreement, to meet the growing demand for energy.",16,1
"In 2013, a video clip of an 11-year-old girl without limbs – who used the small span of her left “arm” to hold a pen with her neck and practice beautiful Khmer penmanship in a classroom in Battambang province’s Samlout district – won the hearts of netizens all throughout the Kingdom.",26,0
"Minister of Interior Sar Kheng has met with the UN special rapporteur on human rights in Cambodia to discuss several concerns, including the bail release of NagaWorld protesters and the upcoming commune council election.",2,0
"Thai Vietjet Air on March 16 became the first foreign airline in two years to obtain an Air Operating Licence (AOC) from Cambodia, according to State Secretariat of Civil Aviation (SSCA) chief Mao Havannall.",26,1
"A senior Ministry of Health official said Cambodia will receive more than seven million additional Covid-19 vaccine doses before the end of September, both through the generous assistance of other nations and COVAX – a global mechanism aimed at ensuring equitable access to Covid-19 jabs.",22,1
"A senior Ministry of Environment official urged commune and district administrations to stop signing certificates of transfer of rights, land use applications, or sale or purchase letters for state land within natural protected areas and biodiversity corridors under their jurisdiction.",2,2
Siem Reap provincial authorities have equipped several police motorcycles with fire extinguishers. Seven motorcycles – some used on patrol and others stationed at busy locations – will each be equipped with two extinguishers to ensure a rapid response should a fire break out.,53,4
"GMAC and EuroCham on March 16 entered into a memorandum of understanding (MoU) to foster closer cooperation between the two associations and their members, and to support European garment companies and fashion brands in the Kingdom.",17,2
ASEAN military intelligence chiefs have agreed to strengthen cooperation and build a strong military intelligence community which will commit to addressing security threats in order to maintain peace and stability in the region.,16,2
Fourteen journalists from five different periodicals have been selected to receive “Inspirational Journalism Awards” for their contributions to the promotion of journalism in the Kingdom.,11,2
"The Mekong River Commission (MRC) called for urgent action to protect the river for the benefit of the millions of people throughout Southeast Asia who depend on it. The Mekong is severely impacted by water infrastructure projects and climate change, it said.",17,1
The Japanese navy delegation – currently in Cambodia to observe the 30th anniversary of Japan’s first Peacekeeping Mission (PKO) to the Kingdom – has visited the Ream Naval Base on the second day of their three-day visit.,16,2
"For the March 16-31 period, the retail selling prices of fuel in the Kingdom have been set at 5,300 riel or $1.32 per litre of both diesel and regular EA92 – petrol with an octane rating of at least 92",24,2
"The Ministry of Labour and Vocational Training announced that it has sought intervention from other ministries to allow three protesters to be released on bail so as to attend negotiations, in fresh efforts to reach a solution in the ongoing labour dispute between former NagaWorld employees and company management.",4,0
"The defence team of former opposition leader Kem Sokha said they were not happy to see the prosecutor adding evidence, saying it put more pressure on their client.",2,0
The Ministry of Health on March 17 announced that fully vaccinated inbound passengers will no longer be required to show a PCR test result proving they are negative for the coronavirus 72 hours prior to their arrival in Cambodia.,95,29
"The Council for the Development of Cambodia (CDC) has in the first two months of this year announced its approval of final registration certificates for 37 investment projects worth about $2.38 billion, an indication of significant progress in economic recovery as Covid-19 wanes.",5,0
"The “leaving no one behind” tagline represents the vision of the UN for its 2030 agenda, which was established in 2015. A country’s tax system can be one of the most effective tools for promoting equality in today’s society.",11,0
"Cambodia can expect a further boost to its tourism and investment industries when regional neighbour Malaysia reopens its border to international travel from April 1, according to senior aviation officials and tourism industry experts.",66,8
"By mid-march, nearly 5,000 Cambodian workers had returned from Thailand through the international border checkpoint in Oddar Meanchey province, with nearly 300 testing positive for the coronavirus, according to a summary report seen by The Post on March 15.",6,0
"The Phnom Penh Municipal Hall has called on people to start using public bus services again, saying it will reduces people’s cost of living and that the service provides safety for travellers.",48,3
"The Cambodia Kantha Bopha Foundation announced on March 14 that in February, it received donations of 411,549,800 riel and $155,846 from 20,249 people.",53,2
"The Philippines said on March 14 it had confronted Beijing’s ambassador after a Chinese navy ship was caught “illegally lingering” in the Southeast Asian nation’s waters, in the latest diplomatic row between the two countries.",15,1
"Nearly 30 million people were under lockdown across China on March 15, as surging virus cases prompted the return of mass tests and hazmat-suited health officials to city streets on a scale not seen since the start of the Covid-19 pandemic.",1,3
Heart-rending videos of artillery strikes are being served up alongside funny snippets such as bomb-shelter cooking tips and invasion misinformation as the war in Ukraine plays out on TikTok.,13,1
"The early 5G rollout in South Korea brought Switzerland-based ID Quantique’s (IDQ) quantum-safe technology to life on smartphones, backbone networks and will potentially be on mobile camera modules and cars.",4,0
"The Ministry of Agriculture, Forestry and Fisheries has distributed a total of 3,000 tonnes of emergency reserve rice to help more than 7,000 households in provinces hit hard by the Covid-19 pandemic.",4,0
"The General Department of Taxation (GDT) collected 2.07466 trillion riel, or $512.26 million, in taxes in the first two months of 2022, surging by 22.69 per cent over the same period last year, according to its director-general Kong Vibol on March 14.",5,1
"Singaporean Minister of Commerce and Industry Gan Kim Yong has reiterated the city-state’s commitment to strengthening bilateral trade cooperation with Cambodia, as he pledged full support in helping the Kingdom succeed during its chairmanship of ASEAN",4,0
"The Ministry of Tourism and two NGOs – Everwave and River and Ocean Cleanup – plan to launch a campaign to clean up the Mekong, Tonle Sap and Tonle Bassac rivers in Phnom Penh by collecting rubbish from the water and along the river banks.",40,2
[Sponsored] Pleng Music Awards’ ‘Content Creator of the Year’ voting to raise funds for children’s hospitals,5,0
The National Committee to Combat Money Laundering and the Financing of Terrorism and Proliferation of Weapons of Mass Destruction has instructed all units acting as judicial authorities to set up standard operating procedures and cooperate with relevant institutions in their investigations.,7,1
"Dry-season rice cultivation has already exceeded the amount planned by more than a third, according to the Ministry of Agriculture, Forestry and Fisheries.",26,1
The Covid-19 pandemic has forced villagers in Prey Moul commune’s Khleng Por village of Kampong Chhnang province’s Rolea Ba’ier district to flock to the forests and valleys in the province to find medicinal plants to sell via brokers to people who need them for traditional Khmer medicine.,4,0
[Advertorial] The Ascott Limited debuts its first Citadines Apart’hotel in Phnom Penh,20,1
The Bar Association of the Kingdom of Cambodia (BAKC) – in collaboration with the Cambodia Academy of Digital Technology’s Institute of Digital Governance – has organised a seminar for lawyers on cybersecurity.,13,0
"The Regional Comprehensive Economic Partnership (RCEP) agreement could provide a “vital impetus” to drive the Cambodian economy to exit Least Developed Country (LDC) status by 2028, according to the commerce minister on March 14.",12,2
"The Ministry of Water Resources and Meteorology warned on March 14 that the effects of the Indian low pressure front and some low pressure areas in the region will cause rainfall, strong winds and thunderstorms in the central lowlands and plains of northwestern Cambodia.",23,0
A mentally ill man has been placed in pre-trial detention for allegedly killing his 4-month-old nephew in Sdeung Chey commune of Kampong Cham province’s Cheung Prey district on March 12.,17,1
A senior Ministry of Information official refuted a report released by the Cambodian Centre for Independent Media (CCIM) which claimed that press freedom in Cambodia in 2021 was worse than in 2020.,5,0
"One new death, 125 Omicron community cases in Cambodia",17,1
The Ministry of Health will kick off an educational campaign next week to raise awareness of health protection and vaccination against the coronavirus.,13,0
"Two ships from the Japan Maritime Self-Defence Force (JMSDF) have docked at Preah Sihanouk Autonomous Port to commemorate the 30th anniversary of the JMSDF’s first Peacekeeping Operation (PKO), with a military drill and visit to Ream Naval Base planned for their crews’ three-day visit.",11,1
Eight of the 11 union leaders and members who were formerly employed at the NagaWorld integrated resort and were arrested for organising protests over their layoffs were released on bail by the Phnom Penh Municipal Court on March 14.,1,0
"More than 520,000 doses of the AstraZeneca Covid-19 vaccine donated by Hungary are due to be handed over to Prime Minister Hun Sen on March 18 at the Peace Palace in Phnom Penh.",32,0
"Cambodia Internet Startup Association (CISA) has announced a partnership with Cambodia Association of Finance Technology (CAFT) to provide “high-quality” multilingual industry analysis reports, co-organise virtual and in-person activities, and mark a “brilliant milestone” in Belt and Road Initiative (BRI) cooperation.",10,1
The State Secretariat of Civil Aviation (SSCA) expects Japanese Prime Minister Fumio Kishida’s upcoming visit to Cambodia this weekend to pave the way for the resumption of direct flights between the Kingdom and Japan.,7,0
"Royal Academy of Cambodia president Sok Touch said that when officials released 1,000 fish recently, it was just for publicity and that the fish population in Cambodia would only increase if the authorities implemented the law on fisheries properly.",30,1
Officials from multiple institutions on March 14 met to finalise the draft sub-decree on the management of advertisements on products and services intended to control those that are fraudulent or misleading for consumers.,28,1
Minister of Interior Sar Kheng instructed officials to ascertain the qualifications of police officers upon their appointment to new positions in order to increase the efficiency of operations and maintain security and public order.,5,0
"In late February, Naturelife Cambodia provided micro-funding to four communities in the Lumphat Wildlife Sanctuary in support of the effective management of natural resources and to promote community participation in the protection of the sanctuary.",7,0
The National Police’s Department for Private Security Management urged officials to pay attention to gated communities – known locally as borey – condominiums and apartments to prevent problems from arising as part of the “safe village-commune” policy more effectively.,4,0
[Sponsored] Result of the Workshops and Roundtable for the Dissemination and Training on Law on Combating the Financing of Proliferation of Weapons of Mass Destruction,6,0
Minister of Water Resources and Meteorology Lim Kean Hor has requested that Mekong River water data be shared to accurately measure the impact of the river’s flow on the social and economic wellbeing of the region.,13,1
Preah Sihanouk provincial authorities are building a case to send a group of 10 suspects to court for allegedly instigating around 300 people to encroach on state land in the Southern Cardamom National Park in Cham Srey village of Kampong Seila district and commune.,12,0
"One new death, 115 Omicron community cases in Cambodia",10,0
"Cambodia's logistics and transportation companies are considering a “slight” increase in prices due to the rising cost of fuel triggered by the Russia-Ukraine conflict, according to industry experts and key players.",38,4
Specialists from the Ministry of Health have collected samples from the area where a child contracted the influenza A/H9 “bird flu” for further testing while advising individuals to avoid all non-essential contact with poultry.,16,2
The Ministry of Environment and the Wildlife Alliance have agreed to organise activities that will educate and promote an environmentally friendly movement in the Cardamom Mountain range by holding a youth debate forum in 2022. This came as ministry officials,7,0
Nadia was just 16 when she was married off to a violent husband old enough to be her father – an ordeal thousands of Moroccan girls face every year due to a legal loophole.,13,2
What to eat when infected with Covid-19,6,1
"Millions of people across China endured lockdowns on Sunday as virus cases doubled to nearly 3,400 and anxiety mounted over the resilience of the country’s ‘zero-Covid’ approach in the face of the worst outbreak in two years.",2,0
"Vietnam has banned a new Hollywood film starring Tom Holland over scenes with a map showing Beijing’s claims to the South China Sea, state media reported on March 12.",51,2
"A vast array of solar panels floats on the shimmering waters of a reservoir in northeast Thailand, symbolising the kingdom’s drive towards clean energy as it seeks carbon neutrality by 2050.",11,0
"Surging prices for fuel, food and housing have sent US inflation to the highest in four decades, and the Russian military offensive in Ukraine has made the situation worse, so the Federal Reserve is preparing to take action.",7,1
The world economy’s fragile recovery from the Covid-induced crisis is now threatened by the ongoing Ukraine conflict and soaring commodity prices.,3,1
"Lao Petroleum and Chemical Co Ltd (Laopec), located in the Saysettha Development Zone in Lao capital Vientiane, has invested more than $200 million in a petroleum refinery.",30,2
"Cambodia and Australia have reaffirmed their commitment to further boosting trade, investment and cooperation, especially on post-Covid recovery initiatives in all areas, according to the Ministry of Commerce on March 11.",21,3
"WING Bank (Cambodia) Plc on March 14 opened two more Phnom Penh branches – one in Sen Sok district and another near the Independence Monument – in its quest to deliver an ever-expanding suite of financial solutions to more Cambodians, and team up with industry leaders from around the world.",36,1
"The Agricultural and Rural Development Bank of Cambodia (ARDB) has approved $30 million in loans to the rice industry for the construction of warehouses and drying silos in four provinces, as it revealed plans to set up mobile offices in five more sites to reach rural clients.",6,2
Minister of Women’s Affairs Ing Kantha Phavi virtually launched three different toolkits on positive parenting to promote positive child education through increased knowledge and skills and access to appropriate and timely parenting support.,20,1
The Garment Manufacturing Association in Cambodia (GMAC) provided training on fire fighting to staff from its member factories and enterprises.,9,1
"Teams from the Tonle Sap Authority (TSA)’s Department of Supervision, Trade and Conservation are making an inventory of the fishing gear in the Tonle Sap Lake area to document what equipment is available.",13,0
[Sponsored] Edenbridge Asia Partners Ltd,1,0
Cambodia and the EU have renewed their pledge to enhance bilateral trade and investment ties in spite of the lingering economic fallout from the Covid-19 pandemic.,7,0
"Lao Prime Minister Phankham Viphavanh thanked the Cambodian government for its donations to help the neighbouring country fight Covid-19, with the latest donation being 10 vaccination vehicles.",10,0
Cambodia's requests to increase capacity at the Stung Bot-Ban Nong Ian international border checkpoint with Thailand – around 9km southeast of the main Poipet gate – during its preliminary phase continue to be declined by the Thai side,14,6
The Ministry of Public Works and Transport has held a series of discussions with electricity providers and sustainability organisations to support the development of policies that will encourage mass use of electric vehicles (EV) in Cambodia.,6,0
Police in Phnom Penh’s Tuol Kork district have launched an investigation into a domestic violence case involving a court official on the night of March 12 in Teuk La’ak II commune.,17,2
"An awareness campaign communicating the details of two new anti-money laundering laws launched by several ministries has been underway ahead of Cambodia’s Financial Action Task Force (FATF) evaluation, in which the Kingdom is expected to be removed from the organisation’s money laundering “grey list”.",6,0
The World Bank has approved $113 million in new financing to improve access to quality healthcare in Cambodia focusing on poor and vulnerable people and supporting effective responses to health crises.,37,1
[REPOST] Cambodia grapples with an impending inflation hike as oil price and US dollar surge amid the crisis,11,3
When Toun Socheat was about 10-years-old he took a keen interest in the “sastravuth” or metal weapons he saw and read about in his grandfather’s martial arts books. They fired his imagination and his attention was fixed to the photos of them on the books’ pages.,15,0
"The Ministry of Health on March 13 reported 125 new Covid-19 cases, one of which were imported and all were confirmed to be the Omicron variant.",19,0
"The show comprises 21 paintings done with oil paints and U-90 enamel house paint on canvas along with two cabinets that contain the artist’s sketches, painting materials, books and personal belongings.",15,0
Near the Cardamom Mountains of Koh Kong there is a wooden chalet with a few porches protruding out over the valley allowing people to view the mountainous jungle greenery descending into a valley where a river can be seen snaking through the landscape.,77,9
New demining MoU on way for CMAA,9,1
Molnatris prices in Cambodia to be reduced,10,2
Siem Reap girl infected with bird flu,8,1
A Cambodian delegation responded to a wide range of questions regarding the human rights situation in Cambodia at the UN Human Rights Committee during the 134th session of the International Covenant on Civil and Political Rights (ICCPR) from March 9-11.,7,2
"Seventy years after its first model rolled off the factory line, Volkswagen is reinventing the VW bus, symbol of the hippy movement, for today’s climate-conscious generation – but some of its former afficionados remain to be convinced.",28,1
"Prime Minister Hun Sen has granted permission to a local drug company to produce the Covid-19 antiviral medicine molnupiravir to ease supply and distribution concerns, according to Ministry of Health spokeswoman Or Vandine.",18,3
The 10 vaccination vehicles donated by the Cambodian government to Laos were delivered to the country on March 12. The vehicles will provide a boost to the neighbouring nation's vaccination drive as well as bilateral relations between the two countries.,6,0
"The militaries of Cambodia and Thailand have announced plans to strengthen marine cooperation, according to a statement from the Royal Cambodian Armed Forces (RCAF).",22,1
"Child marriage in Indonesia is driven by multidimensional factors that often overlap, such as poverty, unintended pregnancy, culture as well as gender stereotyping.",13,1
"The Japanese government has provided more than $800,000 in funding to two Japanese NGOs, under its grant assistance framework. The NGOs are engaged in raising awareness of environment issues and eliminating violence against children in schools.",8,0
"President Joe Biden on March 9 ordered government agencies to begin work on creating a digital US dollar, weighing the risks and benefits of a move that could be a game changer for the global financial system.",23,3
"One new death, 189 Omicron community cases in Cambodia",14,0
The Ministry of Culture and Fine Arts called on costume businesses in the Angkor area to follow Cambodian norms and traditions and avoid confusion by displaying non-Khmer clothing advertised as Khmer.,187,33
"More than 12,000 companies have been successfully registered on the government’s online business registration system, also known as the Single Portal, in the nearly 21 months since its launch in mid-2020.",14,2
"The Post talks with Som Sorida, Deputy Secretary General and spokesperson for the National Election Committee (NEC) to discuss the basics regarding the election, for those in our readership who aren’t familiar with Cambodian civics, as well as the NEC’s process of preparing for the election.",0,1
[Sponsored] First 7-Eleven store outside the capital opens in Poipet,46,1
"The registration of agricultural products as ‘collective brands’ aims to, among other things, preserve the knowledge and traditions of growers, improve local livelihoods, spur tourism, and promote economic diversification and growth.",7,2
Green Prey Lang honey producers clinch awards,20,2
"In Opinion:
Empowering Cambodian women, improving Cambodia society",9,3
The National Committee for Disaster Management (NCDM) and the World Food Programme on March 9 held a workshop on “gender mainstreaming guidelines for inclusive disaster management”.,5,0
"The first person to receive a heart transplant from a genetically modified pig has died two months after the medical milestone, the hospital that carried out the surgery said on Wednesday.",10,0
"Thailand's National Health Security Office (NHSO) has so far paid 1.509 billion baht ($45.65 million) as compensation to 12,714 people who developed side-effects after they received Covid-19 vaccines.",7,0
"The BA.2 sub-variant of Omicron, or the stealth variant, is accounting for many coronavirus infections in Ho Chi Minh City (HCMC) and Hanoi, the departments of health have revealed.",4,1
"The Lao government has set an annual economic growth target of at least four per cent from now until 2025, even though there is no indication as to when the Covid-19 outbreak will be contained.",3,0
"Thai regional airline Bangkok Airways has announced Cambodia as one of its key destinations, as it unveiled its target to operate 34,000 flights carrying 2.6 million passengers this year.",28,4
"Ministry of Environment officials and conservation partners earlier this week visited a 90ha natural forest area preserve in Koh Kong province, which has been prepared for the rehabilitation of tigers.",37,4
"The Kampong Cham provincial Department of Education, Youth and Sports has prohibited teachers from tutoring extra classes outside regular state hours.",66,9
"Anti-money laundering group explain tough sanctions on Iran, North Korea",2,0
Minister of Foreign Affairs and International Cooperation Prak Sokhonn said Cambodia is ready to work closely with all Asia-Europe Meeting (ASEM) partners and relevant stakeholders to foster increased ASEM cooperation.,5,1
"Cambodia and Pakistan stand to strengthen bilateral ties and cooperation on trade, tourism, education and defence further, as they noted that their relations had been lifted to another level.",8,0
Minister of Justice Koeut Rith and National Police chief Neth Savoeun on March 10 co-chaired a meeting of Working Group 3 of the ad-hoc sub-commission to implement an action plan devised by the Asia-Pacific Group on Money Laundering.,3,1
Prime Minister Hun Sen has received new donations in the form of 20 trucks and handed them over to health departments in the capital and 11 provinces for use in transporting Covid-19 vaccines to the public.,8,0
"Road accidents killed nearly 150 people in February, prompting Minister of Interior Sar Kheng to renew calls for people to respect the rules of the road – and one another.",12,3
"Cambodia and the EU held their 11th joint committee meeting on March 10-11 to discuss trade and investment, cooperation and institution building, administrative reform, legal and judicial reform and human rights.",3,0
"The head of the Cambodian Permanent Mission to the UN Offices in Geneva has denounced a comment made by his US counterpart concerning the civil and political situation in Cambodia, accusing her of “weaponising” human rights to advance the US political agenda.",12,3
"The government has decided to postpone the implementation of the capital gains tax until 2024 in a bid to restore and prop up post-pandemic economic growth, according to a notice from the Ministry of Economy and Finance’s General Department of Taxation (GDT).",22,2
The Cambodian Mine Action and Victim Assistance Authority (CMAA) on March 10 announced the formal launch of its Gender Mainstreaming in Mine Action Plan (GMAP) 2021-2025.,1,0
"The Ministry of Environment – in collaboration with the Preah Sihanouk provincial Department of Education, Youth and Sports – launched compost processing activities at five schools in the province to improve the environment and ensure that school grounds remain green in all seasons.",8,0
Two men were found dead in a car of apparent overdoses on the evening of March 9 in Choeung Ek commune’s Borei Kamakor village of Phnom Penh’s Dangkor district.,24,0
Cambodia grapples with an impending inflation hike as oil price and US dollar surge amid the crisis,69,11
"The Ministry of Labour and Vocational Training has issued a notice calling on NagaWorld protesters to end their months-long demonstration, warning that it may affect the outcomes on the concessions they are demanding.",11,0
"Two Japanese NGOs have received more than $1 million in grants from the Japanese government – through the framework of the Grant Assistance for Japanese NGO Projects – to promote community health and sanitation, and support the youth.",12,1
"ASEAN and the US have decided to postpone their summit originally slated for late March, with officials attributing the delay to the tight schedule of ASEAN leaders.",0,0
"Four months on after Cambodia reopened its doors to foreign tourists and investors, recovery in Preah Sihanouk province’s real estate market has failed to gain real traction, according to observers.",18,6
"Nasdaq-listed super-app Grab could face class action lawsuits, with several US law firms calling for shareholders to contact them to investigate claims on their behalf.",31,2
Cambodia welcomes and supports China’s rise and sees it as not only a development miracle more significant than the rising tide that raises all boats but also as a global phenomenon that raises hope and values for the China Silk Road member countries.,18,7
Cambodia's top anti-narcotics authorities have jointly conducted a two-day training course from March 9-10 for officials from relevant ministries and law enforcement to enhance knowledge on chemical control mechanisms.,8,0
A Czech Republic-based private company has signed a contract to buy 35 tonnes of Kampot peppercorn from more than 200 households of the Kampot Pepper Promotion Association (KPPA) over a period of 10 years.,52,10
A National Authority for Combating Drugs (NACD) official said samples from the 84 tonnes of chemicals seized during a drug bust in December 2021 – in which three Chinese nationals were arrested – showed that they were to be used in the commercial production of illegal substances.,7,0
An Argentinian court has asked the social media giant Facebook to clarify its role in “fuelling the ongoing genocide against Rohingya people and to share evidence crucial to holding the Myanmar military to account”.,16,5
"Pang Nakry Real Estate Co Ltd, a Cambodian-Chinese-Thai joint venture, on March 8 opened Banteay Meanchey province’s first steelworks, in the southwestern district of Malai, according to the provincial administration.",1,1
"More than 2,000 people including monks, teachers, students, Forestry Administration officials, local authorities and residents gathered to ceremonially ordain trees in the O’Teuk Chenh forest community in two villages of Tram Sasar commune in Siem Reap town on March 8.",21,1
"Minister of Interior Sar Kheng has declared that Preah Sihanouk province must not develop a reputation for being a “crime base”, insisting that its image must be restored ahead of the Commune Council Election in order to regain the trust of foreign investors.",54,6
Cambodia will receive light to moderate rainfall from March 9 to 15. The unseasonal forecast is due to a high pressure system – formed over China – interacting with a low pressure system over Thailand.,9,1
"Nearly 10,000 women entrepreneurs and students from four provinces in Cambodia have completed training in financial literacy and economic empowerment in a project jointly organised by the Ministry of Women’s Affairs, National Bank of Cambodia (NBC) and Visa Inc.",37,2
